userid|query|service_class|dimension|segment|step|step_label|query_cpu_time|query_blocks_read|query_execution_time|query_cpu_usage_percent|query_temp_blocks_to_disk|segment_execution_time|cpu_skew|io_skew|scan_row_count|join_row_count|nested_loop_join_row_count|return_row_count|spectrum_scan_row_count|spectrum_scan_size_mb|query_queue_time|service_class_name
100|612499|6|query||||2334|349436|263|51.01||||||||||||Default queue                                                   
100|612499|6|segment|4|||||263|||16|1.12|1.13||||||||Default queue                                                   
100|612499|6|segment|6|||||263|||139|1.02|1.01||||||||Default queue                                                   
100|612499|6|segment|3|||||263|||2|4.23|||||||||Default queue                                                   
100|612499|6|segment|5|||||263|||16|4.06|||||||||Default queue                                                   
100|612499|6|segment|2|||||263|||2|1.30|1.14||||||||Default queue                                                   
100|612499|6|segment|9|||||263|||20|1.05|1.02||||||||Default queue                                                   
100|612499|6|segment|7|||||263|||63|1.04|1.02||||||||Default queue                                                   
100|612499|6|segment|8|||||263|||64|1.03|||||||||Default queue                                                   
100|612499|6|segment|10|||||263|||20|4.00|||||||||Default queue                                                   
100|612499|6|step|5|1|project|||263|||||||||||||Default queue                                                   
100|612499|6|step|9|1|project|||263|||||||||||||Default queue                                                   
100|612499|6|step|7|2|project|||263|||||||||||||Default queue                                                   
100|612499|6|step|9|10|project|||263|||||||||||||Default queue                                                   
100|612499|6|step|9|9|hjoin|||263|||||||962606064||||||Default queue                                                   
100|612499|6|step|9|0|scan|||263||||||2361596612|||||||Default queue                                                   
100|612499|6|step|2|0|scan|||263||||||22933760|||||||Default queue                                                   
100|612499|6|step|8|0|scan|||263||||||978443437|||||||Default queue                                                   
100|612499|6|step|6|0|scan|||263||||||17880867776|||||||Default queue                                                   
100|612499|6|step|2|2|bcast|||263|||||||||||||Default queue                                                   
100|612499|6|step|7|4|project|||263|||||||||||||Default queue                                                   
100|612499|6|step|9|5|project|||263|||||||||||||Default queue                                                   
100|612499|6|step|3|2|hash|||263|||||||||||||Default queue                                                   
100|612499|6|step|3|1|project|||263|||||||||||||Default queue                                                   
100|612499|6|step|3|0|scan|||263||||||81802240|||||||Default queue                                                   
100|612499|6|step|5|2|hash|||263|||||||||||||Default queue                                                   
100|612499|6|step|4|2|bcast|||263|||||||||||||Default queue                                                   
100|612499|6|step|5|0|scan|||263||||||130058240|||||||Default queue                                                   
100|612499|6|step|9|8|project|||263|||||||||||||Default queue                                                   
100|612499|6|step|7|1|project|||263|||||||||||||Default queue                                                   
