userid|query|service_class|query_cpu_time|query_blocks_read|query_execution_time|query_cpu_usage_percent|query_temp_blocks_to_disk|segment_execution_time|cpu_skew|io_skew|scan_row_count|join_row_count|nested_loop_join_row_count|return_row_count|spectrum_scan_row_count|spectrum_scan_size_mb|query_queue_time|service_class_name|xid|elapsed|starttime|endtime|aborted|source_query|concurrency_scaling_status_txt|from_sp_call|substring
100|612499|6|2334|349436|263|51.01||139|4.23|1.14|17880867776|971957624||||||Default queue                                                   |5057436|262248167|2024-12-18 07:22:40.614882|2024-12-18 07:27:02.863049|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|613093|6|2796|348753|205|52.15||79|4.10|2.38|17839691328|972763752||||||Default queue                                                   |5069758|204797784|2024-12-18 08:06:16.031789|2024-12-18 08:09:40.829573|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|613238|6|2600|348706|187|57.98||78|5.05|1.33|17870816832|971540080||||||Default queue                                                   |5072703|186898281|2024-12-18 08:16:22.414038|2024-12-18 08:19:29.312319|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|613104|6|1|0|1|30.36||1|16.00||||||||181|Default queue                                                   |5069879|181384243|2024-12-18 08:06:39.568728|2024-12-18 08:09:40.952971|0||0 - Ran on the main cluster||select * from svl_query_metrics_summary order by query_execu
100|612903|6|2019|223517|172|73.17|122165|143|16.00|1.55|18000048306|178783||||||Default queue                                                   |5066113|171074497|2024-12-18 07:53:12.932867|2024-12-18 07:56:04.007364|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|612572|6|2027|225690|166|75.62|99150|124|8.00|1.81|18000048306|1309830||||||Default queue                                                   |5059109|165951078|2024-12-18 07:28:34.945979|2024-12-18 07:31:20.897057|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|613372|6|1940|223920|154|76.52|104775|128|16.00|1.27|18000048306|123763||||||Default queue                                                   |5075464|153557725|2024-12-18 08:26:09.740398|2024-12-18 08:28:43.298123|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|613018|6|2245|126770|142|34.93||140|1.25|1.20|4480201373|4572500800||||||Default queue                                                   |5068239|141984777|2024-12-18 08:00:55.441917|2024-12-18 08:03:17.426694|0||0 - Ran on the main cluster||select /* TPC-H Q13 */ c_count, count(*) as custdist from ( 
100|618463|6|1622|221848|141|80.56|82513|111|8.00|1.17|18000048306|1273792||||||Default queue                                                   |5168269|140211581|2024-12-18 13:44:24.23558|2024-12-18 13:46:44.447161|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|613603|6|2131|346409|140|59.64||53|4.57|1.06|17756823488|972689340||||||Default queue                                                   |5080588|139574621|2024-12-18 08:43:53.8166|2024-12-18 08:46:13.391221|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|617540|6|2158|346891|137|57.90||55|4.45|1.06|17811884352|974966695||||||Default queue                                                   |5150942|136966888|2024-12-18 12:45:43.878624|2024-12-18 12:48:00.845512|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|619287|6|2156|346527|135|58.62||54|4.17|2.29|17734785792|977279990||||||Default queue                                                   |5183486|134303356|2024-12-18 14:37:05.435546|2024-12-18 14:39:19.738902|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|614695|6|2147|347041|134|59.03||54|4.49|1.06|17833664576|974692681||||||Default queue                                                   |5099941|133316711|2024-12-18 09:50:11.730531|2024-12-18 09:52:25.047242|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|618110|6|2146|346504|133|59.39||54|4.64|4.00|17765832082|970134974||||||Default queue                                                   |5161708|132972621|2024-12-18 13:22:01.235323|2024-12-18 13:24:14.207944|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|824411|6|1523|220753|133|79.89|80908|111|5.33|1.94|18000048306|205122||||||Default queue                                                   |5419112|132631158|2024-12-19 04:31:10.705869|2024-12-19 04:33:23.337027|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|614302|6|2145|348064|133|59.50||53|4.57|4.00|17847720640|974417944||||||Default queue                                                   |5093692|132511044|2024-12-18 09:29:08.661517|2024-12-18 09:31:21.172561|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|614222|6|2141|347486|133|59.55||53|4.22|1.07|17837631552|973196262||||||Default queue                                                   |5092115|132381159|2024-12-18 09:23:29.462161|2024-12-18 09:25:41.84332|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|617224|6|2148|347803|133|59.61||53|4.45|1.10|17851086848|974669326||||||Default queue                                                   |5145013|132248076|2024-12-18 12:25:21.586049|2024-12-18 12:27:33.834125|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|616010|6|2141|346698|133|59.32||53|4.53|1.07|17759398208|977313146||||||Default queue                                                   |5124150|132163454|2024-12-18 11:13:21.409466|2024-12-18 11:15:33.57292|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|618836|6|2146|347017|132|59.50||52|4.49|1.03|17818092288|976847898||||||Default queue                                                   |5175107|132001219|2024-12-18 14:08:10.735147|2024-12-18 14:10:22.736366|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|617134|6|2140|346855|132|59.47||53|4.29|1.10|17821534784|975821887||||||Default queue                                                   |5143426|131942423|2024-12-18 12:19:42.388513|2024-12-18 12:21:54.330936|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|834478|6|1531|220028|132|79.06|82185|109|8.00|1.40|18000048306|119253||||||Default queue                                                   |5599869|131745729|2024-12-19 14:51:42.286185|2024-12-19 14:53:54.031914|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|616432|6|2130|348269|132|59.47||53|4.46|1.10|17894609152|975789372||||||Default queue                                                   |5132292|131739205|2024-12-18 11:41:39.736659|2024-12-18 11:43:51.475864|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|615327|6|2131|346656|132|59.56||52|4.54|2.98|17767367378|973877475||||||Default queue                                                   |5110818|131626759|2024-12-18 10:27:31.141517|2024-12-18 10:29:42.768276|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|828850|6|2083|346440|132|58.76||52|4.32|1.05|17808069952|971800198||||||Default queue                                                   |5498845|131425926|2024-12-19 09:04:58.901159|2024-12-19 09:07:10.327085|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|824895|6|1576|221234|132|81.07|72100|109|16.00|1.15|18000048306|120142||||||Default queue                                                   |5428043|131407913|2024-12-19 05:02:06.907831|2024-12-19 05:04:18.315744|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|827953|6|2111|347521|132|58.71||52|5.33|2.76|17787224256|977360974||||||Default queue                                                   |5482464|131405830|2024-12-19 08:09:07.667725|2024-12-19 08:11:19.073555|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|619246|6|1592|222592|132|80.80|78157|109|16.00|1.97|18000048306|209907||||||Default queue                                                   |5182671|131333584|2024-12-18 14:34:14.181668|2024-12-18 14:36:25.515252|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|618000|6|1596|221783|132|79.27|89093|109|16.00|1.76|18000048306|175981||||||Default queue                                                   |5159521|131233256|2024-12-18 13:14:35.270186|2024-12-18 13:16:46.503442|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|826001|6|1547|221683|132|78.97|87565|109|8.00|1.28|18000048306|174865||||||Default queue                                                   |5446574|131141613|2024-12-19 06:05:39.482695|2024-12-19 06:07:50.624308|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|823885|6|1574|222336|132|79.20|89273|110|2.67|1.26|18000048306|178799||||||Default queue                                                   |5409064|131019176|2024-12-19 03:56:38.136063|2024-12-19 03:58:49.155239|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|615659|6|1579|222796|131|79.97|81795|106|4.00|1.53|18000048306|1264062||||||Default queue                                                   |5117246|130798201|2024-12-18 10:49:49.149577|2024-12-18 10:51:59.947778|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|826451|6|1550|223291|131|79.93|83066|107|16.00|1.30|18000048306|1281212||||||Default queue                                                   |5455011|130695359|2024-12-19 06:34:53.34215|2024-12-19 06:37:04.037509|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|830089|6|2089|348282|131|59.07||53|4.09|2.95|17836315584|975674132||||||Default queue                                                   |5520234|130434038|2024-12-19 10:18:19.497963|2024-12-19 10:20:29.932001|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|834423|6|2099|347498|131|59.39||52|4.24|1.11|17832892160|974248848||||||Default queue                                                   |5598802|130198942|2024-12-19 14:48:06.554449|2024-12-19 14:50:16.753391|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|830671|6|2091|346739|130|59.64||53|6.40|1.09|17783257280|974184161||||||Default queue                                                   |5531078|129936501|2024-12-19 10:55:30.764176|2024-12-19 10:57:40.700677|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|827874|6|2092|347036|130|59.36||52|4.47|1.06|17796359744|972084647||||||Default queue                                                   |5480841|129789615|2024-12-19 08:03:32.550001|2024-12-19 08:05:42.339616|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|827241|6|2077|345833|130|59.10||52|8.00|8.00|17741499136|975633887||||||Default queue                                                   |5470055|129730644|2024-12-19 07:26:23.698187|2024-12-19 07:28:33.428831|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|826805|6|2090|347673|130|59.39||52|4.35|1.06|17820464916|971635696||||||Default queue                                                   |5461752|129605036|2024-12-19 06:58:11.335009|2024-12-19 07:00:20.940045|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|828294|6|2094|348444|130|59.31||52|4.23|1.10|17898299584|972571216||||||Default queue                                                   |5488502|129585131|2024-12-19 08:29:37.652318|2024-12-19 08:31:47.237449|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|829631|6|2092|348714|130|59.56||52|4.06|1.04|17868203968|975083397||||||Default queue                                                   |5512086|129534262|2024-12-19 09:50:29.699784|2024-12-19 09:52:39.234046|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|825429|6|2085|347625|130|59.17||52|4.56|1.05|17811293120|974247888||||||Default queue                                                   |5438063|129458164|2024-12-19 05:37:11.7341|2024-12-19 05:39:21.192264|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|824019|6|2088|347032|130|59.58||52|4.18|1.09|17774522304|973795362||||||Default queue                                                   |5411586|129448350|2024-12-19 04:05:12.863156|2024-12-19 04:07:22.311506|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|826111|6|2078|346475|130|59.33||52|4.63|1.04|17773492416|973666752||||||Default queue                                                   |5448678|129317101|2024-12-19 06:12:57.332765|2024-12-19 06:15:06.649866|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|833858|6|2085|347242|130|59.41||52|4.38|1.06|17847758784|973254605||||||Default queue                                                   |5588442|129129017|2024-12-19 14:12:24.974055|2024-12-19 14:14:34.103072|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|830751|6|2082|346671|130|59.13||51|4.69|1.03|17802520000|975948139||||||Default queue                                                   |5532672|129128793|2024-12-19 11:01:04.749206|2024-12-19 11:03:13.877999|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|831049|6|2080|346945|130|59.43||52|4.38|4.31|17800259968|973505806||||||Default queue                                                   |5538419|129093466|2024-12-19 11:21:05.306525|2024-12-19 11:23:14.399991|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|832453|6|2092|347114|130|59.52||52|4.41|1.10|17794214144|973054712||||||Default queue                                                   |5561903|129080177|2024-12-19 12:41:51.231642|2024-12-19 12:44:00.311819|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|615613|6|1950|347570|129|63.28||54|6.82|1.48|17807288000|968244755||||||Default queue                                                   |5116435|128886391|2024-12-18 10:46:55.279183|2024-12-18 10:49:04.165574|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|832881|6|2093|347440|129|59.71||51|5.33|1.07|17837974848|973512055||||||Default queue                                                   |5570161|128815406|2024-12-19 13:09:47.766876|2024-12-19 13:11:56.582282|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|833550|6|2082|346916|129|59.62||52|4.61|1.10|17805294976|974221777||||||Default queue                                                   |5582668|128757926|2024-12-19 13:52:32.357304|2024-12-19 13:54:41.11523|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|825028|6|2078|346480|129|59.41||51|4.12|2.16|17757977344|972600676||||||Default queue                                                   |5430654|128660909|2024-12-19 05:11:20.876013|2024-12-19 05:13:29.536922|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|825856|6|1526|220617|129|78.30|88572|107|3.20|1.40|18000048306|204580||||||Default queue                                                   |5444327|128612467|2024-12-19 05:58:10.921971|2024-12-19 06:00:19.534438|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|831653|6|2081|346618|129|59.78||52|4.65|1.05|17793918528|974945465||||||Default queue                                                   |5548644|128247106|2024-12-19 11:56:18.542584|2024-12-19 11:58:26.78969|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|618421|6|1956|346149|129|63.80||53|8.00|1.60|17748183872|968696798||||||Default queue                                                   |5167414|128154507|2024-12-18 13:41:30.211032|2024-12-18 13:43:38.365539|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|824453|6|2081|347795|129|59.75||52|4.38|1.04|17858696576|977818581||||||Default queue                                                   |5419917|128087099|2024-12-19 04:33:52.506265|2024-12-19 04:36:00.593364|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|834612|6|1944|347851|128|63.65||52|6.37|1.44|17838156032|969468984||||||Default queue                                                   |5602448|127930756|2024-12-19 15:00:39.934631|2024-12-19 15:02:47.865387|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|832076|6|1533|222325|128|79.54|83244|104|4.00|1.42|18000048306|1287599||||||Default queue                                                   |5555154|127909173|2024-12-19 12:18:22.581849|2024-12-19 12:20:30.491022|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|616984|6|1530|221301|128|79.90|76257|106|3.20|1.21|18000048306|121408||||||Default queue                                                   |5140719|127859169|2024-12-18 12:10:23.360253|2024-12-18 12:12:31.219422|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|825115|6|2073|346963|128|59.60||51|5.33|1.11|17823976000|976715528||||||Default queue                                                   |5432240|127751690|2024-12-19 05:16:53.852533|2024-12-19 05:19:01.604223|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|833457|6|2082|346747|128|59.91||52|5.33|1.08|17764766976|975154836||||||Default queue                                                   |5581034|127534953|2024-12-19 13:46:56.867608|2024-12-19 13:49:04.402561|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|614070|6|1534|222414|128|80.06|76768|104|16.00|1.48|18000048306|119199||||||Default queue                                                   |5089294|127490216|2024-12-18 09:13:56.91324|2024-12-18 09:16:04.403456|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|834062|6|1930|346488|128|63.31||53|5.94|1.50|17800612800|967694796||||||Default queue                                                   |5591878|127358124|2024-12-19 14:23:57.228168|2024-12-19 14:26:04.586292|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|614390|6|1523|219534|128|78.61|87983|106|16.00|1.93|18000048306|172314||||||Default queue                                                   |5095126|127293974|2024-12-18 09:34:06.038866|2024-12-18 09:36:13.33284|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|619041|6|1538|223735|128|78.80|89706|106|16.00|1.15|18000048306|124599||||||Default queue                                                   |5179056|127211113|2024-12-18 14:21:43.854733|2024-12-18 14:23:51.065846|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|615506|6|1956|346770|128|63.76||54|6.76|1.48|17774579520|966412834||||||Default queue                                                   |5114442|127061764|2024-12-18 10:40:00.80221|2024-12-18 10:42:07.863974|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|618305|6|1945|345953|127|63.62||53|5.33|1.13|17757529152|967655778||||||Default queue                                                   |5165302|126939412|2024-12-18 13:34:21.139797|2024-12-18 13:36:28.079209|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|829849|6|1482|220350|127|78.38|86425|106|16.00|1.22|18000048306|120410||||||Default queue                                                   |5515992|126931068|2024-12-19 10:03:37.531986|2024-12-19 10:05:44.463054|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|828019|6|1492|219207|127|77.75|90103|105|8.00|1.22|18000048306|172153||||||Default queue                                                   |5483803|126860309|2024-12-19 08:13:47.874972|2024-12-19 08:15:54.735281|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|618943|6|1950|347576|127|63.80||52|8.16|1.60|17795768512|968646093||||||Default queue                                                   |5177242|126854951|2024-12-18 14:15:21.584787|2024-12-18 14:17:28.439738|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|613886|6|1516|220012|127|78.48|90469|106|5.33|1.60|18000048306|142721||||||Default queue                                                   |5085905|126786588|2024-12-18 09:02:15.355464|2024-12-18 09:04:22.142052|0||0 - Ran on the main cluster||select /* TPC-H Q18 */ c_name, c_custkey, o_orderkey, o_orde
100|823615|6|1929|347367|127|63.92||52|5.83|1.20|17839548288|969712502||||||Default queue                                                   |5404002|126695364|2024-12-19 03:38:52.793264|2024-12-19 03:40:59.488628|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
100|617735|6|1952|347513|127|63.85||53|4.68|1.14|17843086144|973321995||||||Default queue                                                   |5154285|126652657|2024-12-18 12:57:26.55043|2024-12-18 12:59:33.203087|0||0 - Ran on the main cluster||select /* TPC-H Q9 */ nation, o_year, sum(amount) as sum_pro
